timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1482925504.608569,1.178687,0.148356,-1.375094,-2.247964,-2.424427,-1.804280,0.913954,-0.147812,-0.377941,1.065075,0.061539,0.483225
1482925504.627887,1.127217,0.095966,-1.342804,-2.867820,-2.351001,-1.763782,0.899065,-0.095819,-0.427200,0.720993,-0.101550,0.599799
1482925504.647174,1.084975,0.038474,-1.301676,-3.474745,-1.836237,-1.670895,0.883637,-0.038465,-0.466589,0.386761,-0.194264,0.606725
1482925504.666492,1.060807,-0.019390,-1.253885,-3.538433,-0.825365,-1.249286,0.872586,0.019389,-0.488076,0.305366,-0.208987,0.584008
1482925504.685809,1.055280,-0.067176,-1.212704,-2.720499,-0.280054,-1.134411,0.868076,0.067125,-0.491872,0.515209,-0.146845,0.439449
1482925504.705097,1.046739,-0.102644,-1.188348,-1.622379,-0.691397,-0.805320,0.861239,0.102464,-0.497764,0.608753,-0.078567,0.277417
1482925504.724414,1.037882,-0.122612,-1.172277,-1.114021,-0.385081,-0.297388,0.854864,0.122305,-0.504231,0.471015,-0.078746,0.160607
1482925504.743732,1.038761,-0.137481,-1.150567,-1.580782,0.039855,-0.023818,0.853645,0.137048,-0.502502,0.428201,-0.181640,0.145939
1482925504.763019,1.043055,-0.158830,-1.115756,-2.357104,-0.165415,-0.110034,0.853072,0.158163,-0.497245,0.556618,-0.128146,0.074935
1482925504.782337,1.044839,-0.184089,-1.074444,-2.460444,-0.265158,-0.009181,0.850231,0.183051,-0.493558,0.609491,0.128866,-0.032318
1482925504.801654,1.048928,-0.206199,-1.033352,-2.361766,-0.167201,0.042279,0.848526,0.204740,-0.487940,0.446734,0.194288,-0.059644
1482925504.820941,1.057055,-0.228824,-0.992929,-2.353552,0.110120,-0.038171,0.848211,0.226832,-0.478629,0.266191,0.064113,-0.029317
1482925504.840259,1.074020,-0.249242,-0.956258,-1.886867,0.586130,-0.003276,0.851959,0.246669,-0.461867,0.292002,0.069296,-0.012832
1482925504.859577,1.093440,-0.260232,-0.930240,-1.151392,0.663729,0.206416,0.858307,0.257305,-0.443964,0.401548,0.239908,0.089179
1482925504.878864,1.107723,-0.261740,-0.909951,-0.890962,0.312340,0.509852,0.864212,0.258761,-0.431485,0.390007,0.355518,0.243126
1482925504.898181,1.118680,-0.259442,-0.885703,-1.223205,0.283422,0.695031,0.869420,0.256541,-0.422250,0.288020,0.279141,0.298736
1482925504.917499,1.138521,-0.260377,-0.848749,-1.991721,0.695874,0.793900,0.877408,0.257445,-0.404816,0.217099,0.209829,0.326254
1482925504.936780,1.170666,-0.263433,-0.797134,-2.613927,1.140756,1.008790,0.889237,0.260397,-0.376100,0.252204,0.199732,0.259423
1482925504.956099,1.214559,-0.260358,-0.739561,-2.559234,1.742200,1.350222,0.905629,0.257426,-0.336997,0.245554,0.187269,0.147574
