timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1482925534.955804,0.913267,0.497483,-0.447541,-0.666699,-0.092039,0.357755,0.695564,-0.477215,-0.537082,-0.458594,1.314090,-0.502400
1482925534.975152,0.905774,0.498895,-0.430660,-0.508611,0.115108,0.652002,0.690989,-0.478456,-0.541862,-0.327359,1.330832,-0.243959
1482925534.994439,0.902035,0.504585,-0.407272,-0.697822,0.613039,1.019890,0.686811,-0.483444,-0.542745,-0.236919,1.074213,-0.102283
1482925535.013757,0.906998,0.514363,-0.377771,-0.716825,1.215677,1.375682,0.685740,-0.491980,-0.536392,-0.193954,0.751991,-0.081891
1482925535.033075,0.922305,0.535994,-0.349577,-0.103517,1.688297,1.880589,0.685227,-0.510696,-0.519283,-0.133380,0.680890,-0.045009
1482925535.052361,0.945668,0.574028,-0.318489,0.097551,2.320712,2.707804,0.680919,-0.543019,-0.491406,0.005246,0.846684,0.087343
1482925535.071679,0.974818,0.624565,-0.274388,-0.155712,3.132080,3.528991,0.671364,-0.584744,-0.455352,0.190031,0.894113,0.231787
1482925535.090997,1.013488,0.686293,-0.214549,-0.307024,4.383507,4.292485,0.656540,-0.633674,-0.409160,0.487839,0.901331,0.098732
1482925535.110284,1.080070,0.768366,-0.164135,1.063379,5.703667,4.874300,0.634193,-0.694961,-0.338863,0.811483,0.834955,-0.210560
1482925535.129601,1.202153,0.875086,-0.160090,2.867671,6.840314,5.210251,0.597871,-0.767599,-0.230960,0.992818,0.881382,-0.293087
1482925535.148919,1.386067,0.992413,-0.216308,3.384325,7.225688,5.535879,0.537370,-0.837347,-0.100413,1.237246,0.955376,-0.103914
1482925535.168206,1.591077,1.111324,-0.298787,2.123883,6.708265,6.126083,0.443384,-0.896286,0.008993,1.921742,0.919612,-0.199686
1482925535.187524,1.804306,1.228673,-0.387370,0.283074,7.062420,6.314334,0.326383,-0.942044,0.077630,2.575931,0.848152,-0.666233
1482925535.206841,2.061957,1.353163,-0.502549,-1.185589,7.814636,6.786848,0.190395,-0.976411,0.101839,3.056073,1.005043,-0.921954
1482925535.226129,2.719653,1.466218,-1.014705,-1.372214,7.680465,7.080338,0.042751,-0.994537,0.095234,3.516732,1.052432,-0.892874
1482925535.245446,-2.047889,1.451444,-2.408852,-2.192267,5.795281,7.211526,-0.105773,-0.992886,0.054676,3.828902,1.114567,-0.649913
1482925535.264764,-1.523677,1.323397,-2.847535,-2.893448,4.295856,7.163845,-0.244612,-0.969553,-0.011534,3.821448,1.226848,-0.715511
1482925535.284050,-1.312808,1.179141,-2.992524,-3.911757,3.452599,6.889021,-0.369085,-0.924279,-0.097390,3.669149,1.334480,-0.702377
1482925535.303369,-1.175528,1.030245,-3.086497,-4.731090,2.395311,6.300955,-0.474929,-0.857425,-0.198153,3.431484,1.137529,-0.772131
1482925535.322686,-1.087042,0.888182,3.121908,-5.409852,0.506588,5.259766,-0.558439,-0.775926,-0.293400,3.089588,0.970914,-0.416622
1482925535.341974,-1.049689,0.753904,3.031645,-6.674352,-2.609193,4.195484,-0.632258,-0.684490,-0.362937,2.838173,1.018260,-0.120653
1482925535.361290,-1.055484,0.622486,2.924465,-7.278772,-4.303791,3.507166,-0.706928,-0.583056,-0.400372,2.459114,1.244850,-0.263819
1482925535.380609,-1.083420,0.503138,2.812621,-7.120828,-4.494813,2.697295,-0.774068,-0.482177,-0.410274,2.106019,1.307912,-0.541308
1482925535.399895,-1.120348,0.413052,2.692658,-7.214432,-4.933979,0.895226,-0.824541,-0.401407,-0.398755,1.929784,1.252904,-0.560679
1482925535.419214,-1.177104,0.360567,2.549370,-7.461384,-6.097306,-1.104235,-0.864115,-0.352805,-0.358934,1.892130,1.347955,-0.536105
1482925535.438530,-1.248585,0.357820,2.400261,-6.311896,-6.473553,-3.236826,-0.888459,-0.350233,-0.296608,1.740518,1.762324,-0.406026
1482925535.457818,-1.319651,0.418866,2.261338,-5.323322,-6.200403,-6.044060,-0.884891,-0.406725,-0.227030,1.732887,2.434294,-0.511852
1482925535.477135,-1.381887,0.532483,2.156337,-2.361081,-5.328613,-7.309501,-0.846222,-0.507674,-0.161789,2.009357,2.759621,-0.861395
1482925535.496454,-1.446701,0.686236,2.113314,0.362602,-4.109911,-8.464268,-0.767687,-0.633630,-0.095759,2.165567,2.995953,-0.698458
1482925535.515741,-1.530822,0.857418,2.126720,1.646200,-4.076421,-9.166574,-0.653868,-0.756156,-0.026152,2.299263,2.819410,-0.239844
1482925535.535058,-1.695493,1.045742,2.219513,2.655203,-4.645186,-10.152493,-0.497367,-0.865297,0.062344,2.229522,2.413356,-0.042026
1482925535.554376,-2.014414,1.220045,2.477683,3.223799,-4.173876,-10.129342,-0.310344,-0.939115,0.147478,1.969872,2.056536,0.240701
1482925535.573663,-2.716003,1.305847,3.125046,4.467627,-4.195616,-10.150966,-0.108110,-0.965106,0.238500,1.668747,1.809687,0.369469
1482925535.592981,2.883237,1.210900,-2.514997,5.994001,-2.980934,-9.360024,0.089978,-0.935933,0.340489,1.198210,1.580860,0.292262
1482925535.612298,2.616354,1.031886,-2.263710,6.405064,-1.640812,-8.365705,0.257329,-0.858269,0.444023,0.999144,1.270452,0.341977
1482925535.631585,2.504930,0.838917,-2.165820,6.730895,-1.786398,-7.850785,0.397296,-0.743920,0.537345,0.978772,0.886958,0.419144
1482925535.650903,2.421881,0.660652,-2.106175,5.067129,-2.407333,-7.422922,0.520474,-0.613632,0.593770,0.688487,0.574759,0.579364
1482925535.670221,2.343885,0.509033,-2.046384,3.223740,-2.105374,-7.186441,0.625011,-0.487333,0.609810,0.264370,0.291532,0.445519
1482925535.689507,2.295247,0.377914,-1.984142,2.124446,-0.445934,-6.831069,0.696021,-0.368982,0.615960,-0.099767,0.248046,0.157903
1482925535.708825,2.292882,0.261118,-1.927403,1.743723,1.613494,-6.088921,0.724991,-0.258160,0.638546,-0.334660,0.116766,0.102912
1482925535.728142,2.340433,0.164560,-1.875024,1.251820,3.608416,-4.998070,0.708462,-0.163819,0.686473,0.044287,-0.011511,-0.125111
1482925535.747430,2.391223,0.091550,-1.830574,1.082869,2.230433,-3.966456,0.679054,-0.091422,0.728373,0.595748,0.076267,-0.214197
1482925535.766747,2.424177,0.032596,-1.791505,0.743772,2.106353,-3.240190,0.657090,-0.032590,0.753107,0.576482,-0.043125,-0.418664
1482925535.786065,2.482591,-0.006732,-1.756854,0.116018,3.286008,-2.350943,0.612314,0.006732,0.790586,0.832028,-0.085200,-0.695831
1482925535.805352,2.536209,-0.020895,-1.722178,-0.753334,2.281673,-1.488888,0.568953,0.020893,0.822105,1.397542,-0.146848,-0.847454
1482925535.824670,2.567675,-0.012943,-1.705450,-0.806735,1.144373,0.142380,0.542880,0.012942,0.839710,1.995766,-0.151860,-1.093161
1482925535.843987,2.554916,0.012385,-1.707260,-1.320870,-1.885805,0.965800,0.553554,-0.012384,0.832721,2.137060,-0.323211,-0.875114
1482925535.863275,2.488930,0.055550,-1.698862,-2.583281,-4.160987,0.858963,0.606367,-0.055521,0.793244,1.487126,-0.474389,-0.492286
1482925535.882592,2.385898,0.110368,-1.660675,-3.938997,-5.697622,0.009671,0.681621,-0.110144,0.723367,0.720278,-0.414965,-0.158700
1482925535.901910,2.258266,0.168034,-1.594199,-4.716333,-6.222381,-0.135836,0.761969,-0.167245,0.625646,0.250519,-0.004118,-0.136251
1482925535.921196,2.130431,0.215761,-1.526046,-3.749350,-5.717248,0.089410,0.827800,-0.214091,0.518567,0.113781,0.514599,-0.273617
1482925535.940515,2.010548,0.254538,-1.477635,-2.935601,-5.667234,0.917570,0.875702,-0.251798,0.411998,0.362090,1.005573,-0.553502
1482925535.959832,1.881843,0.296615,-1.425388,-3.585238,-5.996660,1.026942,0.910441,-0.292284,0.292690,0.394563,0.983429,-0.797621
1482925535.979125,1.754732,0.336815,-1.341222,-5.080602,-4.500400,1.076687,0.927891,-0.330482,0.172623,-0.105084,0.853009,-1.068289
1482925535.998442,1.657515,0.370260,-1.241065,-4.760027,-2.710731,1.043034,0.928730,-0.361858,0.080741,-0.414997,0.676885,-0.977615
1482925536.017761,1.568539,0.390510,-1.155942,-3.803132,-3.337229,0.747593,0.924713,-0.380660,-0.002087,-0.319085,0.741513,-0.674893
1482925536.037047,1.468489,0.403672,-1.081585,-3.212672,-3.641864,1.009441,0.914816,-0.392798,-0.093920,-0.307829,0.974305,-0.724274
1482925536.056365,1.384938,0.420648,-1.017965,-2.815256,-2.695113,1.468287,0.897104,-0.408352,-0.168681,-0.345061,1.112597,-0.900516
1482925536.075682,1.311671,0.435737,-0.950821,-3.057138,-2.111819,1.401713,0.876293,-0.422079,-0.232292,-0.422147,0.944413,-0.772920
1482925536.094970,1.243877,0.443289,-0.871982,-3.596955,-1.583958,1.542761,0.855501,-0.428913,-0.290089,-0.566060,0.988714,-0.563940
1482925536.114287,1.184392,0.451694,-0.792212,-3.069198,-1.090054,1.800176,0.833374,-0.436490,-0.339064,-0.630522,1.182245,-0.414435
1482925536.133605,1.139223,0.466551,-0.720893,-2.553488,-0.448667,2.138843,0.811233,-0.449809,-0.373594,-0.579811,1.263358,-0.482005
1482925536.152892,1.108472,0.485183,-0.650862,-2.477780,0.406819,2.325135,0.791724,-0.466370,-0.394553,-0.494128,1.194061,-0.599126
1482925536.172210,1.092456,0.504936,-0.578868,-2.413712,1.207167,2.441726,0.776973,-0.483751,-0.402862,-0.425029,1.127923,-0.647130
1482925536.191527,1.088501,0.527628,-0.509812,-2.075002,1.752489,2.509868,0.765449,-0.503485,-0.400737,-0.312043,1.169810,-0.552869
1482925536.210814,1.093233,0.555907,-0.448410,-1.430414,1.881651,2.524650,0.754386,-0.527714,-0.390408,-0.101055,1.415056,-0.414116
